code,code_type,short_description,long_description
Z00.00-2610,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
K21.9-3487,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
J18.9-510,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
800532,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
E11.9-4410,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
992130,CPT,office or other outpatient visit established patient,office or other outpatient visit established patient documented during patient clinical encounter
K21.9-3898,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
R07.9-1238,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
N39.0-3600,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
N39.0-4730,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
930007,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
C34.90-5440,ICD10_CM,malignant neoplasm of lung unspecified,malignant neoplasm of lung unspecified documented during patient clinical encounter
930005,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
Z00.00-250,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
850253,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
M54.5-462,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
J18.9-1381,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
J18.9-5341,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
M54.5-3344,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
K21.9-5416,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
850255,CPT,complete blood count automated,complete blood count automated documented during patient clinical encounter
453788,CPT,diagnostic colonoscopy,diagnostic colonoscopy documented during patient clinical encounter
R07.9-951,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
710203,CPT,chest x ray two views,chest x ray two views documented during patient clinical encounter
992141,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
R07.9-623,ICD10_CM,chest pain unspecified,chest pain unspecified documented during patient clinical encounter
A41.9-1867,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
800536,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
K21.9-2658,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
Z00.00-1749,ICD10_CM,general adult medical examination without abnormal findings,general adult medical examination without abnormal findings documented during patient clinical encounter
K21.9-3679,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
A41.9-1200,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
J18.9-1906,ICD10_CM,pneumonia unspecified organism,pneumonia unspecified organism documented during patient clinical encounter
A41.9-1892,ICD10_CM,sepsis unspecified organism,sepsis unspecified organism documented during patient clinical encounter
M54.5-2326,ICD10_CM,low back pain,low back pain documented during patient clinical encounter
364157,CPT,venipuncture,venipuncture documented during patient clinical encounter
I10-315,ICD10_CM,essential primary hypertension,essential primary hypertension documented during patient clinical encounter
E11.9-4359,ICD10_CM,type 2 diabetes mellitus without complications,type 2 diabetes mellitus without complications documented during patient clinical encounter
992144,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
364153,CPT,venipuncture,venipuncture documented during patient clinical encounter
K21.9-556,ICD10_CM,gastro esophageal reflux disease without esophagitis,gastro esophageal reflux disease without esophagitis documented during patient clinical encounter
N39.0-4475,ICD10_CM,urinary tract infection site not specified,urinary tract infection site not specified documented during patient clinical encounter
364150,CPT,venipuncture,venipuncture documented during patient clinical encounter
810017,CPT,urinalysis automated,urinalysis automated documented during patient clinical encounter
992148,CPT,office or other outpatient visit detailed,office or other outpatient visit detailed documented during patient clinical encounter
930005,CPT,electrocardiogram routine ecg,electrocardiogram routine ecg documented during patient clinical encounter
800531,CPT,comprehensive metabolic panel,comprehensive metabolic panel documented during patient clinical encounter
